Molecule,Value_2024,2024Units,Average Price 2024,Value_2023,2023Units,Average Price 2023,Value_2022,2022Units,Average Price 2022,Value_2021,2021Units,Average Price 2021,Value_2020,2020Units,Average Price 2020,Comp,Private,Adjusted Price,Selling Price,Penetration Rate,Forecasted Units,Revenue,Profit,5-Year Profit,CAGR
PHENYLBUTYRATE,1180138.0,2421.0,487.0,619788.0,1300.0,477.0,286056.0,600.0,477.0,653161.0,1370.0,477.0,939216.0,1970.0,477.0,1,0.0,340.5594405594406,136.22377622377624,0.08,193.68,26383.820979020984,13191.910489510492,65959.55244755246,5.874611098913962
PHENYLEPHRINE,40445526.0,2379855.0,17.0,62247955.0,4083435.0,15.0,48565227.0,3637160.0,13.0,35255018.0,2884683.0,12.0,47407875.0,3898577.0,12.0,8,0.999366259,12.23021582733813,4.8920863309352525,0.05,118992.75,582122.8057553958,291061.4028776979,1455307.0143884895,-3.8930046839110055
PHENYLPROPANOLAMINE,19551075.0,1544629.0,13.0,17467970.0,1404856.0,12.0,11733692.0,958049.0,12.0,7635370.0,628538.0,12.0,4496309.0,427798.0,11.0,2,0.999314002,9.352517985611511,3.7410071942446046,0.08,123570.32,462277.456115108,231138.728057554,1155693.64028777,44.40380037865352
PHENYLPYRUVIC ACID,646737.0,4017.0,161.0,419083.0,2603.0,161.0,395899.0,2459.0,161.0,305739.0,1899.0,161.0,249872.0,1552.0,161.0,1,0.967139656,115.82733812949641,46.330935251798564,0.08,321.36,14888.909352517987,7444.4546762589935,37222.27338129497,26.838918024150015
PHENYTOIN,494962.0,10184.0,49.0,639870.0,11488.0,56.0,688667.0,12484.0,55.0,665984.0,13202.0,50.0,467961.0,10825.0,43.0,2,0.633864822,35.251798561151084,14.100719424460435,0.08,814.72,11488.138129496405,5744.069064748202,28720.345323741014,1.4122805917802683
PHERITIMA POSTHUMA,190132.0,11523.0,17.0,186024.0,11274.0,17.0,208894.0,12660.0,17.0,202010.0,12243.0,17.0,260224.0,15771.0,17.0,1,1.0,12.23021582733813,4.8920863309352525,0.08,921.84,4509.720863309353,2254.8604316546766,11274.302158273384,-7.545731442463854
PHOENIX DACTYLIFERA,,,,,,,,,,704.0,32.0,22.0,,,,1,,,,0.08,,,,,
PHOSPHATIDYL SERINE,661957.0,6073.0,109.0,1068418.0,9802.0,109.0,805093.0,7727.0,104.0,470496.0,4524.0,104.0,627952.0,6038.0,104.0,1,1.0,78.41726618705036,31.366906474820144,0.08,485.84000000000003,15239.29784172662,7619.64892086331,38098.244604316555,1.3271512187874812
PHOSPHOLIPIDS,63925.0,1397.0,46.0,91105.0,1561.0,58.0,293208.0,5198.0,56.0,368159.0,6737.0,55.0,642898.0,13068.0,49.0,6,1.0,33.093525179856115,13.237410071942447,0.05,69.85000000000001,924.63309352518,462.31654676259,2311.58273381295,-43.84581020929741
PHOSPHORIC ACID,6908267.0,283916.0,24.0,4423174.0,278119.0,16.0,3497415.0,219208.0,16.0,3786490.0,243663.0,16.0,2068955.0,88266.0,23.0,11,0.858256202,17.266187050359715,6.906474820143886,0.03,8517.48,58825.76115107915,29412.880575539573,147064.40287769787,35.177533350844236
PHOSPHORUS,31887473.0,463839.0,69.0,35189775.0,533204.0,66.0,33496386.0,504923.0,66.0,30048297.0,538943.0,56.0,28695954.0,551236.0,52.0,21,0.94159901,49.64028776978417,19.85611510791367,0.03,13915.17,276301.2172661871,138150.60863309354,690753.0431654677,2.6714886804084736
PHRAGMITIS,156760.0,7838.0,20.0,54240.0,2712.0,20.0,209280.0,10464.0,20.0,,,,621691.0,14437.0,43.0,1,1.0,14.388489208633095,5.755395683453238,0.08,627.04,3608.863309352518,1804.431654676259,9022.158273381296,-29.137712340098844
PHYLLANTHUS AMARUS,236976.0,9874.0,24.0,257544.0,10731.0,24.0,253032.0,10543.0,24.0,280800.0,11700.0,24.0,257064.0,10711.0,24.0,1,1.0,17.266187050359715,6.906474820143886,0.08,789.9200000000001,5455.562589928059,2727.7812949640297,13638.906474820149,-2.013605906474969
PHYLLANTHUS EMBLICA,9748773.0,456444.0,21.0,12494117.0,566325.0,22.0,12641179.0,602905.0,21.0,7781514.0,392110.0,20.0,9055439.0,455437.0,20.0,10,0.973944926,15.107913669064748,6.0431654676259,0.03,13693.32,82750.9985611511,41375.49928057555,206877.49640287773,1.8615105288172895
PHYTASE,4095218.0,28175.0,145.0,4297990.0,29542.0,145.0,3985891.0,29531.0,135.0,3890681.0,29979.0,130.0,3405794.0,26226.0,130.0,1,1.0,104.31654676258994,41.726618705035975,0.08,2254.0,94051.79856115108,47025.89928057554,235129.4964028777,4.7163901067049485
PHYTOMENADIONE,30191178.0,261440.0,115.0,33586705.0,300607.0,112.0,32617282.0,303483.0,107.0,26735836.0,274670.0,97.0,23700705.0,246997.0,96.0,17,0.859203573,82.7338129496403,33.09352517985612,0.03,7843.2,259559.13669064755,129779.56834532377,648897.8417266188,6.237954076503893
PHYTOSPHINGOSINE,1112214.0,9985.0,111.0,507033.0,4641.0,109.0,380410.0,3470.0,110.0,366967.0,3397.0,108.0,340271.0,3123.0,109.0,1,0.999793205,79.85611510791368,31.942446043165475,0.08,798.8000000000001,25515.625899280585,12757.812949640293,63789.06474820146,34.459302799011795
PHYTOSTEROLS (UNSPECIFIED),404240.0,6028.0,67.0,227384.0,3989.0,57.0,112915.0,1999.0,56.0,175450.0,2212.0,79.0,74525.0,1193.0,62.0,3,1.0,48.201438848920866,19.280575539568346,0.08,482.24,9297.86474820144,4648.93237410072,23244.6618705036,52.61046833641964
PIBRENTASVIR,19569427.0,253.0,77350.0,20188224.0,261.0,77350.0,18099787.0,234.0,77350.0,18795933.0,243.0,77350.0,14309663.0,185.0,77350.0,1,0.106719425,57296.29629629629,22918.51851851852,0.08,20.240000000000002,463870.81481481483,231935.40740740742,1159677.037037037,8.140201851090168
PICOLINIC ACID,3273763.0,45844.0,71.0,2876743.0,39527.0,73.0,1778637.0,29180.0,61.0,3032741.0,50082.0,61.0,2083686.0,35032.0,59.0,4,0.530324584,51.07913669064749,20.431654676258997,0.05,2292.2000000000003,46833.43884892088,23416.71942446044,117083.59712230219,11.957641375352758
PICOSULFURIC ACID,1353849.0,22899.0,59.0,941406.0,15888.0,59.0,187925.0,3213.0,58.0,4047.0,68.0,60.0,19460.0,327.0,60.0,2,1.0,42.44604316546763,16.97841726618705,0.08,1831.92,31103.102158273385,15551.551079136692,77757.75539568346,188.80642334118556
PICRORHIZA KURROA,55195.0,1781.0,31.0,76505.0,3372.0,23.0,118989.0,3445.0,35.0,180524.0,4613.0,39.0,173111.0,4743.0,36.0,4,1.0,22.302158273381295,8.920863309352518,0.05,89.05000000000001,794.4028776978417,397.2014388489209,1986.0071942446043,-24.85609364048549
PIDOLIC ACID,740626.0,7879.0,94.0,1647162.0,17523.0,94.0,1925402.0,20483.0,94.0,1930384.0,20536.0,94.0,2614140.0,27810.0,94.0,1,0.995811651,67.62589928057554,27.050359712230218,0.08,630.32,17050.382733812952,8525.191366906476,42625.95683453238,-27.042905849450726
PILOCARPINE,27439.0,2613.0,11.0,42363.0,1850.0,23.0,22233.0,2117.0,11.0,10904.0,1038.0,11.0,9971.0,960.0,10.0,4,0.932614162,7.913669064748202,3.165467625899281,0.05,130.65,413.5683453237411,206.78417266187054,1033.9208633093526,28.79748740922967
PIMECROLIMUS,11427160.0,78808.0,145.0,9389047.0,69668.0,135.0,9365550.0,64590.0,145.0,8141460.0,56148.0,145.0,6676380.0,46044.0,145.0,1,0.791112577,104.31654676258994,41.726618705035975,0.08,6304.64,263071.309352518,131535.654676259,657678.273381295,14.379795360187009
PIMPINELLA ANISUM,7486835.0,223453.0,34.0,6417744.0,194146.0,33.0,6105933.0,178618.0,34.0,4719885.0,128826.0,37.0,7457006.0,199606.0,37.0,7,1.0,24.46043165467626,9.784172661870505,0.05,11172.650000000001,109315.13669064752,54657.56834532376,273287.8417266188,0.09985361134887683
PINAVERIUM BROMIDE,820890.0,23454.0,35.0,566755.0,16193.0,35.0,749735.0,21421.0,35.0,679245.0,19407.0,35.0,775845.0,22167.0,35.0,1,0.761277394,25.179856115107917,10.071942446043167,0.08,1876.32,18898.187050359713,9449.093525179856,47245.467625899284,1.4209092863316952
PINENE,2729955.0,170877.0,16.0,1999554.0,134283.0,15.0,1769985.0,120166.0,15.0,1380089.0,93262.0,15.0,2558635.0,176163.0,15.0,1,1.0,11.510791366906476,4.604316546762591,0.08,13670.16,62941.743884892094,31470.871942446047,157354.35971223025,1.6334780346407785
